Plateforme,Avis,Notes sur 5
remote.com,"Fast, kind and clear communicationThey replied to all my questions pretty fast and with exhaustive replies.Date of experience: August 10, 2023",4
remote.com,"Good company and good support always…Good company and good support always prompt and knowledgableDate of experience: October 10, 2023",4
remote.com,"Kiks was really helpful and prompt in…Kiks was really helpful and prompt in her response to my issueDate of experience: September 07, 2023",4
remote.com,"Great customer careBrigitte from the customer care team was great in assisting with my enrollment process during the weekend!Date of experience: July 22, 2023",4
remote.com,"Great supportive teamGreat supportive team. Quick answers . Very kindly peopleDate of experience: September 05, 2023",4
remote.com,"Very good company/Platform to get your…Very good company/Platform to get your salaries on time without any hassle.I love it.Date of experience: August 25, 2023",4
remote.com,"So far an excellent experienceSo far an excellent experience with customer support, very helpful, giving the extra mile to get to the solution of the issue.Date of experience: August 14, 2023",4
remote.com,"Outstanding Customer ServiceWe had an amazing experience with Remote Team. Their customer service was outstanding. They are always accommodating and responsive to our questions.Date of experience: August 08, 2023",4
remote.com,"Top web portal, excellent human supportTop web portal, excellent human interaction with their HR specialists.Date of experience: January 09, 2024",4
remote.com,"Response time was quick and my query…Response time was quick and my query was resolved easilyDate of experience: July 25, 2023",4
remote.com,"Fantastic Customer ServiceThe team at Remote have provided amazing support throughout, in particular Danae, our onboarding specialist.Date of experience: December 04, 2023",4
remote.com,"My experience was greatMy experience was great. The team is so professional specially Yemi. I really appreciate her efforts and dedication.Date of experience: August 28, 2023",4
remote.com,"They responded very quickly and…They responded very quickly and politely :)Date of experience: October 24, 2023",4
remote.com,"My onboarding experience was extremely…My onboarding experience was extremely simple and straightforward. Shuchi was a great help!Date of experience: July 19, 2023",4
remote.com,"Onboarding ReviewMy onboarding was quick & efficient. Communication was clear, and my onboarding specialist, Shuchi, was helpful. The platform was also user-friendly.Date of experience: August 16, 2023",4
remote.com,"Helped me to clear my doubt ls easilyIt helped to clear all my doubts and queries. The service given was very fast.Date of experience: September 10, 2023",4
remote.com,"Problem solving skillsThey really helped me a lot, answered all of my questions and it was fast and clear! The team is really helpful!Date of experience: August 08, 2023",4
remote.com,"Shuchi was amazingShuchi was amazing! Clear, concise and very responsive.Date of experience: August 17, 2023",4
remote.com,"Easy to useThe platform is straightforward and the customer service goodDate of experience: December 13, 2023",4
remote.com,"Great customer serviceGreat customer service. Fast response and very clear instructions.Date of experience: August 14, 2023",4
remote.com,"Awesome customer careAwesome customer care and fast reply!Date of experience: September 07, 2023",4
remote.com,"Remote is a great company and helped me…Remote is a great company and helped me in every step of the wayDate of experience: July 31, 2023",4
remote.com,"Benefits in Spain!Emerald answered my benefits question with clarity and urgency regarding the ability to change employee benefits in Spain outside of Open Enrollment.Date of experience: September 26, 2023",4
remote.com,"Easy to use, quick, efficientEasy to use platform online, quick response and reactivity of the customer service, efficient system for employees, employer and finance departmentDate of experience: November 08, 2023",4
remote.com,"smooth experience for employmentsmooth experience for employment. Customer support is responsive and helpful. All processes are easy and digital.Date of experience: August 24, 2023",4
remote.com,"Quick responseI got a response earlier than expected, and information provided was helpful.Date of experience: July 20, 2023",4
remote.com,"Very quick answer and all problems were…Very quick answer and all problems were solved.Date of experience: July 27, 2023",4
remote.com,"Very good customer service <3Responsive and kind, thank you Sunal!Date of experience: September 07, 2023",4
remote.com,"Thanks a lot for handling my request…Thanks a lot for handling my request with ZUS. All good and pretty fast!Date of experience: August 01, 2023",4
remote.com,"The verification process was clear and…The verification process was clear and fast!Date of experience: July 25, 2023",4
remote.com,"Sunal was quick enough to provide me…Sunal was quick enough to provide me the solution to my problem. Thank you!Date of experience: August 30, 2023",4
remote.com,"super fast reply of my questions.Date of experience: August 22, 2023",4
remote.com,"Fast responseFast response.  Got my question answered.Date of experience: August 07, 2023",4
remote.com,"Professional and prompt servicePayroll executive was very professional and responsive in the communication. Provided timely information and assistance to get the matter resolved.Date of experience: August 29, 2023",4
remote.com,"Speed of response,Speed of response,KindnessDate of experience: August 01, 2023",4
remote.com,"Cool product, but bad executionThe concept and platform are impressive. But this all only helps until something stops working, this is when the execution falls short, especially from an employee's perspective. I relocated from Germany to Spain, and there was absolutely no support provided, despite having already paid for a full year of Remote services while in Germany. Getting a new spanish contract was an excruciatingly slow process, requiring constant follow-ups, and each time, I dealt with a different person who seemed unaware of prior discussions or agreements. It became incredibly exhausting. They even refused to get me a socialsecruity number, that has to be requested by the EMPLOYER since a new law. I had to try it myself first and be denied, follow up twice with them AND complain at my company until they stepped in and even charged to get the number. The number was obligatory to create the contract...In the end, I missed out on a €70,000 tax reduction in Spain over a period of 5 years because Remote never communicated the fact that I could take advantage of the Beckham Law. I only discovered this opportunity through someone else who was inquiring about Remote as a potential user. So, convincing new individuals to use Remote may be achievable, but they don't seem interested in helping existing employees save money.Once I realized this, it was already too late for me to apply. Moreover, I received no assistance in this matter. They could have made an effort to assist me, such as writing a letter to the tax authorities, but they didn't seem to care, all while charging me €600 per month, with minimal effort required on their part once the contract was in place.Up until the tax issue arose, I had been recommending Remote to everyone on social media who was seeking opportunities to work abroad for their companies. However, I'm now considering switching to a more affordable competitor.Edit: If you would have wanted to helped me and you are a collaborator of the spanish tax regime you COULD and still CAN - or at least trying to help me. Writing a excuse letter for the delay and asking for kindness for example would have way more impact (as a big company that the tax regime is willed to keep in the country) than me doing it. You just do not want to and going the easy way of saying ""Sorry you missed out, we have better processes in place now"" and keep cashing the 600€ per month with the least amount of effort.Thanks for nothing. And yes, you might have it in place now for this specific case. But it's very representative for any other opportunities who people run risk to lose money, because you are relying on your customers telling you about what you should do proactively.And last but not least, everytime I reach out to the support its like ""We understand your frustration, we are interested in your feedback, but we won't do anything for YOU"". It's annoying and a reason why I not even try anymore.Date of experience: September 13, 2023",4
remote.com,"Great experienceGreat experience so far. Very responsive support team.Date of experience: July 24, 2023",4
remote.com,"Quick and perfect responseDate of experience: August 08, 2023",4
remote.com,"Brigitte was very helpful.Date of experience: July 18, 2023",4
remote.com,"Response are prmopt and efficient.Response are prompt and efficient.Date of experience: August 07, 2023",4
remote.com,"Very HelpfulVery helpful and knowledgeable support staff.Date of experience: August 29, 2023",4
remote.com,"Great service and great support!Date of experience: July 18, 2023",4
remote.com,"good service!!good service to support personal account data completedDate of experience: July 21, 2023",4
remote.com,"Quick responseDate of experience: October 06, 2023",4
remote.com,"Fast and ClearThe help was fast and very clear. Thanks to Lu for her support!Date of experience: September 05, 2023",4
remote.com,"Adriana was incredibly helpfulAdriana was incredibly helpful and responsive.Appreciated her transparency and proactiveness throughout the process!Date of experience: September 20, 2023",4
remote.com,"Very organized platform!Requested all local documents very organized. Very friendly user experience platform.Date of experience: August 07, 2023",4
remote.com,"GreatGreat! Amazing!Date of experience: August 01, 2023",4
remote.com,"Very friendly staff and quick responsesDate of experience: October 11, 2023",4
remote.com,"Great service.Date of experience: July 24, 2023",4
remote.com,"It's all good.The support works flawlessly. User-friendly interface.Date of experience: May 09, 2023",4
remote.com,"Very clear and great customer service…Very clear and great customer service representatives. Very fluent and clear communication.Date of experience: October 02, 2023",4
remote.com,"Prompt and case resolvedDate of experience: October 27, 2023",4
remote.com,"HELPFUL AS ALWAYSDate of experience: September 29, 2023",4
remote.com,"Great experience with ToyinGreat experience with Toyin. Quick and easy communication, very respectful.Date of experience: August 11, 2023",4
remote.com,"great thanks for support5/5 great thanks for supportDate of experience: August 18, 2023",4
remote.com,"Everything went smooth and amazing!Date of experience: August 07, 2023",4
remote.com,"Support is awesomeDate of experience: August 23, 2023",4
remote.com,"Quick response and humble wordsDate of experience: August 22, 2023",4
remote.com,"Problem solving with health care providerVery nice customer service.Date of experience: October 10, 2023",4
remote.com,"Fast repsonse the question I had.Date of experience: August 29, 2023",4
remote.com,"Very proactive agent and answers my…Very proactive agent and answers my questions professionallyDate of experience: July 27, 2023",4
remote.com,"HelpfulHelpful, insightful with full information about the issue!Date of experience: August 03, 2023",4
remote.com,"super clear & helpful guidanceDate of experience: August 17, 2023",4
remote.com,"Fast and clear response!Date of experience: August 08, 2023",4
remote.com,"Great tools.Date of experience: February 01, 2024",4
remote.com,"Good companyseriously solved the problemDate of experience: July 21, 2023",4
remote.com,"Quick and easy communication and…Quick and easy communication and resolution of issue.Date of experience: July 21, 2023",4
remote.com,"Outstanding supportOutstanding support. Present and effectiveDate of experience: September 23, 2023",4
remote.com,"Supportive & responsiveDate of experience: January 02, 2024",4
remote.com,"Great communication and professionalismDate of experience: October 05, 2023",4
remote.com,"They do their thingThey do their thing. Well done.Date of experience: July 14, 2023",4
remote.com,"Very ResponsiveDate of experience: August 11, 2023",4
remote.com,"Pretty unique organization.Date of experience: July 19, 2023",4
remote.com,"ResponsivenessDate of experience: August 16, 2023",4
remote.com,"Seamless Onboarding ExperienceRemote.com provided an exceptional onboarding experience. The platform's user-friendly interface made the process seamless. Highly recommended for remote job seekers and companies hiring remotely!Shuchi was my onboarding specialist and she was very helpful in the process.Date of experience: July 15, 2023",4
remote.com,"YemiYemi, was super helpful and prompt. Attended to my inquiry with useful information that allowed me to troubleshoot  the problem easily.  Would highly recommend.Date of experience: July 13, 2023",4
remote.com,"Great support and very helpful.Great support and very helpful.Put a lot of efforts into solving issues.Date of experience: July 14, 2023",4
remote.com,"Great supportGreat support, very helpful. Jennifer was very helpful and initiativeDate of experience: July 14, 2023",4
remote.com,"Remote ItalyThey don’t care about their clients, they just follow some internal procedures and you as the client find out about what’s happening only after the fact. Very unpredictable and not recommendable. My onboarding was vague and my medical exam was scheduled almost a year after I had already started working there. The worst part of the service is their inflexibility. My money was withheld from me for a month anytime I received a bonus or in the case of my severance package. When I tried to resolve the issue I was met with unprofessional responses and poorly made screenshots of our contracts to remind me that everything they do is legal. I don’t doubt the legality, but I don’t think that’s a way of approaching the people who pay you. To the person who will try to respond with “send us feedback”: I have already tried to converse with you and you did nothing. Please do not pretend you care.Date of experience: July 01, 2023",4
remote.com,"I needed help with my labour documents…I needed help with my labour documents and China was really helpful, kind and approachable throughout our interaction. I'm super grateful to her and the team for helping me out!Date of experience: July 14, 2023",4
remote.com,"Jennifer was really really helpful and…Jennifer was really really helpful and friendly in answering my queries with patience and gave appropriate resolution to my queries.Date of experience: July 13, 2023",4
remote.com,"Timely resolutionTimely resolution to the issue makes all the difference which was actualisedDate of experience: July 12, 2023",4
remote.com,"I contacted the support team from my…I contacted the support team from my employee portal. Chatbot transferred me to an agent with no waiting time. Brigitte was very kind and sharp with her assistance! She helped me and made me feel good at a moment of stress with prompt answers and great empathy! thanks Brigitte for your helpDate of experience: July 12, 2023",4
remote.com,"All the onboarding process was easy and…All the onboarding process was easy and the team help me a lot!Date of experience: July 11, 2023",4
remote.com,"Shetty was greatShetty gave clear instructions and assisted me through the process.Date of experience: July 11, 2023",4
remote.com,"Beware Annual ContractsSlammed me into an annual contract for an employee who was on a three month probationary period, which is mandatory in Brazil. I had no idea I was being charged an annual fee as their fees are all just bundled together in their monthly invoice. When employee didn't work out after 5 weeks insisted on keeping all cash. Pretty harsh treatment for a startup from a startup. Real pity as I had worked through a lot of issues with switching from Stripe to Wise and whatever else they were using for contractor payments but stayed with them because they were responsive and personable.Date of experience: July 09, 2023",4
remote.com,"I reached out for more information about updated UK costsI reached out for more information about pricing changes (because of country regulation changes) and Toyin went took the trouble to break down numbers for us and help us figure out the impact on our budget. This was done promptly and with great courtesy! We appreciate the consistent support -- we have been working with Remote almost since they started and have always received the support we needed from the userhappiness team!Date of experience: June 28, 2023",4
remote.com,"Everything goodDate of experience: July 11, 2023",4
remote.com,"Great ResponseI dealt with Temidayo who was so proactive and responsive in assisting me with the problem I was having (not Remote's fault, a paperwork issue on my side). He was super knowledgeable and friendly in his communication with me. It can sometimes be really stressful dealing with Spanish paperwork as a foreigner so I really appreciated his effort!Date of experience: July 11, 2023",4
remote.com,"Understand my request quicly and…Understand my request quicly and resposes came quiclyThank youDate of experience: July 07, 2023",4
remote.com,"A special thanks to Toyin and MarcoA special thanks to Toyin from the Payroll Client Services Team and Customer Success Manager Marco Baracchi for always providing us with swift responses to any questions and concerns.Date of experience: July 11, 2023",4
remote.com,"Very good!Very good!I have good experience with the support team.Date of experience: July 11, 2023",4
remote.com,"Such good supportWhat a great and smooth experience - Their support team is excellent in helping you get all the documentation and local regulations in place. Even helps you with tax. Both Andrea and Brigette have been fantastic with guidance in what is always a daunting process to have all the administrative things in place for employment remotely. Makes me feel secure to know that if i have a problem it will be taken care of. Like having it's own HR departement. Kudos for creating such a cool way of employing peopleDate of experience: July 11, 2023",4
remote.com,"Thanks for quick responseDate of experience: July 11, 2023",4
remote.com,"Aksh went above and beyond!Aksh went above and beyond in supporting me with my request. Despite the feature not being available to me through the web or mobile platform, he went out of his way to generate an employment verification for me. This is essential as I embark on my job search. Thanks, Aksh! Appreciated your support throughout!Date of experience: July 11, 2023",4
remote.com,"Super fast & dedicated E-Mail supportThe standard questions are easy to access in the portal and to be answered. I was very grateful in receiving very good email support with special questions on healthcare and some specifics. That was very helpful and saved me a lot time.Date of experience: July 04, 2023",4
remote.com,"Response on ab expenses issueVery effective response! The initial problem was a misunderstanding on my part but the agent was so graciously patient!Date of experience: July 09, 2023",4
remote.com,"onboarding experienceEverything from initial discussions to onboarding and verification was spot on. Remote.com website is very well designed and staff was helpful when I had couple of questions regarding contract and terms. I have been explained in clear by the staff before on boarding and whenever I have any question for them they reach back almost immediately. Really enjoyed the onboarding experience.Date of experience: July 01, 2023",4
remote.com,"Quick and helpful support teamJennifer from Support team was really kind, polite and, most importantly, helpful to me. Jennifer managed to calm me in one message and then my issue was resolved really fast. Thanks a lot!Date of experience: July 06, 2023",4
remote.com,"Very niceFast and complexDate of experience: July 06, 2023",4
remote.com,"Problem solvingAs always, super fast response.Date of experience: July 07, 2023",4
remote.com,"Speedy response !Date of experience: July 06, 2023",4
remote.com,"Christina went truly above and beyond…Christina went truly above and beyond to help me in my payroll queriesDate of experience: July 05, 2023",4
remote.com,"Oluwakemi was very patient and kind…Oluwakemi was very patient and kind enough to explain the insurance change process to me and what I need to do to have an easy change. She’s a rockstar!Date of experience: July 06, 2023",4
remote.com,"Query regarding PF accountI had a query regarding my PF account. Akshatha from the User happiness team responded in a quick and efficient manner, providing constant updates to get my concern resolved. The Remote team is always very quick to get back to get any issues resolved.Date of experience: July 05, 2023",4
remote.com,"Efficient communication and…Efficient communication and implementationDate of experience: July 06, 2023",4
remote.com,"Solved Issues!They solve issues fast just message and follow their instructions and they will do the rest!!Date of experience: June 06, 2023",4
remote.com,"I have been using Remote services for 2 monthsI have been using Remote services for 2 months and everything has worked out very well. I only had an issue when changing an email, but they were very helpful and quick to solve the issue.Date of experience: July 05, 2023",4
remote.com,"Excellent supportMistakes happen.  I therefore not judge companies on if they make mistakes or not, but on how they react and support issues.  On that aspect, remote is great.Date of experience: July 03, 2023",4
remote.com,"Clearance about Pay slip and Spanish…Clearance about Pay slip and Spanish tax.Date of experience: June 30, 2023",4
remote.com,"Nice employee engagementNice employee engagement. Sometimes bit of slow response time. Yet, overall nice experience. The tool stack is also helpful.Date of experience: July 04, 2023",4
remote.com,"Toyin from the Payroll Client Services…Toyin from the Payroll Client Services team was extremely helpful in resolving my support request. I'm very grateful for the excellent help and support.Date of experience: July 03, 2023",4
remote.com,"The customer support representative was…The customer support representative was very helpful and even at the time of waiting he was keeping me informed with the status of my request instead of just leaving me hanging.Date of experience: July 03, 2023",4
remote.com,"Form 16Great experienceDate of experience: July 03, 2023",4
remote.com,"Great with updating and assisting meDate of experience: July 02, 2023",4
remote.com,"Very nice and answered all my questions.Date of experience: July 01, 2023",4
remote.com,"Remote HR Australia has been absolutely…Remote HR Australia has been absolutely fantastic in facilitating my hiring process. Their communication and responsiveness have been top-notch. I want to give a special shoutout to Brigitte for her exceptional support. Highly recommended!Date of experience: June 30, 2023",4
remote.com,"Detailed and informative supportI wanted to express my heartfelt thanks for Kim's detailed and informative responses. His support has been invaluable in resolving my queries, and I appreciate the effort Kim put into providing such thorough explanations.4* cause I was answered in 1 week..Date of experience: June 29, 2023",4
remote.com,"Excellent support services!The Support Team responds always very quickly and helps with all needed information and documents. Top service!Date of experience: June 29, 2023",4
remote.com,"Perfect help!!Perfect help. Really quick and complete answers!Date of experience: June 29, 2023",4
remote.com,"Helpful proxy employerFirst of all, it is just a great thing that Remote does - namely enabling companies not having a legal entity in a given country to hire employees on employment contracts. I value an employment contract over a B2B and Remote made it possible for me to sign such a contract with an American company.Secondly, the process is quite straightforward and in case of problems or questions you are not alone (thanks Andrea! ; )Cannot tell more as this is just the beginning but I have a feeling that Remote is a trustworthy company.Date of experience: June 29, 2023",4
remote.com,"Uche is the best!Uche was super helpful, patient and kind. We worked to solve all of my doubts and he was always polite about it.Date of experience: June 29, 2023",4
remote.com,"Very friendly and fast supportVery friendly and fast support. Always online to help. Great assistance from the accounting department.Date of experience: June 29, 2023",4
remote.com,"Velocity to solve problems.Date of experience: June 27, 2023",4
remote.com,"I had the most speedy assistance from KiksI had the most speedy assistance from Kiks. My query was managed excellently and professionally. Her peers can take note of the service delivery I received from Kiks. Thank you very much KiksDate of experience: June 22, 2023",4
remote.com,"I think the sales aThey both did a great job, they supported me in everything always and quickly.nd support…I think the sales and support assistance was great, although I guess the verification process must be a bit complicated since Remote has to make sure of the legal side and that the companies are not too risky.The verification step demotivated me but in the end everything went well.Date of experience: June 27, 2023",4
remote.com,"quick and straightforwardDate of experience: June 27, 2023",4
remote.com,"Uche was incredibly quick and helpful!Date of experience: June 26, 2023",4
remote.com,"Great support first and foremost.Date of experience: June 26, 2023",4
remote.com,"Completely incompetent companyCompletely incompetent company. They don't understand the national laws at all.The User Happiness team is terrible, they don't answer my questions and ignore the information sent. Communication with them is a single email in 2 or 3 days and I was discriminated against by them based on the living address.After spending 2 weeks collecting documents and communicating with them, only negative emotions remained.Date of experience: June 23, 2023",4
remote.com,"Smooth Experience and prompt updates.Smooth Experience and prompt updates. Kudos to Shuchi.Date of experience: June 21, 2023",4
remote.com,"Aksh is the real MVPAksh was such a great help with my situation, very understanding and willing to put in the effort to get my issue sorted as soon as possible. I can't thank him enough. He's the real MVP. Thank you again Aksh !!!Date of experience: June 22, 2023",4
remote.com,"Shuchi Was great and helped me with any…Shuchi Was great and helped me with any and all of my questions in a timely manner.Date of experience: June 23, 2023",4
remote.com,"Responsive and politeI was having trouble uploaded documents and was able to chat with Emerald Culmer-Royster who responded very quickly and provided a solution to my problem almost immediately. They were very polite and responsive.Date of experience: June 23, 2023",4
remote.com,"Communication with Shuchi was helpful…Communication with Shuchi was helpful and well timed.Date of experience: June 22, 2023",4
remote.com,"Very responsive teamI was amazed by the quick response from remote team. Personal handled my query was very kind.Date of experience: June 22, 2023",4
remote.com,"Great for employeesI love the service Remote provides for employees. The team is always glad to help and go beyond my expectationsDate of experience: June 23, 2023",4
remote.com,"Good supportGood support, platform works and is willing to improve, open to feedback.Date of experience: June 23, 2023",4
remote.com,"Customer support is responsive but…Customer support is responsive but sometimes things do take quite a bit of time to be adjusted and fixed by other teams. All in all though the service is good.Date of experience: June 19, 2023",4
remote.com,"Fast response + clear guidelinesFast response + clear guidelines. Uche answered my request very fast and provided straightforward answers.Date of experience: June 22, 2023",4
remote.com,"Great service!Uche answered my questions quickly and thoroughly, and even provided references for his answer. Great service!Date of experience: June 22, 2023",4
remote.com,"Clear and smooth communicationClear and smooth communication, willing to help and to find the right answer :)- I would recommend this service!Date of experience: June 17, 2023",4
remote.com,"Amazing ServiceThe response was very quick! I also appreciate that Kiks is emphatic about my situation that he/she knows how important my request is. I really am very happy with the service Remote Support has. Kudos to all!Date of experience: June 22, 2023",4
remote.com,"Quick responses and precise ..good helpDate of experience: June 22, 2023",4
remote.com,"Superior supportThe customer service support we have received has been excellent. We have had such quick turn around on any queries and have felt heard when any suggestions arise.Date of experience: June 22, 2023",4
remote.com,"Shuchi Kumar has made the onboarding…Shuchi Kumar has made the onboarding process smooth and pleasant!Date of experience: June 21, 2023",4
remote.com,"Satisfied with the customer serviceSatisfied with the customer service, the representative responded quickly and solved my problem easily.Date of experience: June 21, 2023",4
remote.com,"quick, efficient & kindquick, efficient & kind supportDate of experience: June 21, 2023",4
remote.com,"Marriage vacation approvalI believed it was going to be a longer harder process, but it was super simple and done really fast.Date of experience: June 21, 2023",4
remote.com,"Very quick response on the chat.Date of experience: June 21, 2023",4
remote.com,"Very helpfulDate of experience: June 21, 2023",4
remote.com,"Great support from JenniferI hade a great chat with Jennifer Dodo-Okere from Remote support team and they were able to answer all my questions quickly and clearly.Date of experience: June 21, 2023",4
remote.com,"Remote support is really good!In general i have had always a good experience with the remote.com support. With Jennifer one of my remote helpers i got the chance to immediately get the information i was looking for.It will be a must to integrate this support experience into the remote.com app and get the chance to talk with the remote support with just a tap.Date of experience: June 21, 2023",4
remote.com,"Quicker responseDate of experience: June 21, 2023",4
remote.com,"Akshatha went above and beyond on…Akshatha went above and beyond on support and confirming the issues were resolvedDate of experience: June 20, 2023",4
remote.com,"Great Support Experience from Remote User Happiness TeamI got immediate support from Remote's User Happiness Team (the contact window was Akshatha Rajendra Shetty). The entire process was smooth, efficient and clear. I appreciate that.Date of experience: June 20, 2023",4
remote.com,"Very responsive Customer ServiceVery responsive Customer Service, quite appreciable.Date of experience: June 14, 2023",4
remote.com,"Very grateful to the Remote teamRemote staffs are very helpful, accomodating and straightforward with their response. I am very thankful with the support i am getting from the remote team.Date of experience: June 19, 2023",4
remote.com,"Fast replies, accurate answers, friendly supportDate of experience: June 19, 2023",4
remote.com,"Always prompt and helpful responses.Date of experience: June 19, 2023",4
remote.com,"ExceptionalExceptional - the platform, the Customer Success team, the responsiveness to questions, the understanding of local issues. Everything is top notch- highly recommend!Date of experience: June 15, 2023",4
remote.com,"Quick and helpful supportClean interface, easy to use, so far so good.Support was proactive and helpful when I needed help.Date of experience: June 16, 2023",4
remote.com,"The TAT for requests is amazing!Date of experience: June 16, 2023",4
remote.com,"Great supportGreat support, quick responses each time. Kind and expert supportDate of experience: June 13, 2023",4
remote.com,"Great serviceGreat service, always willing to help and quickly answers.Date of experience: June 16, 2023",4
remote.com,"Great customer serviceGreat customer service. They either simplify a complex problem or they handle/make suggestions for the things that can't be simplified.Date of experience: June 14, 2023",4
remote.com,"Quick, structured and effective response by the CSQuick, structured and effective response by the customer service.Date of experience: June 15, 2023",4
remote.com,"Good platform and support serviceDate of experience: June 15, 2023",4
remote.com,"Quick response & follow upDate of experience: June 15, 2023",4
remote.com,"I had an interaction with Brigitte…I had an interaction with Brigitte about how to change my receiving bank account.  She was on TOP of it.  In a few brief emails she was able to point me to the right direction.  Having said that, some of my past experiences with other agents at Remote have been sub-par.  This time I just got lucky with Brigitte.Date of experience: June 14, 2023",4
remote.com,"Quick response and resolutionThe Remote support member was quick  and effective in the response.Date of experience: June 15, 2023",4
remote.com,"Onboarding experience is smooth and…Onboarding experience is smooth and great. Appreciate Shuchi's hard work.Date of experience: June 12, 2023",4
remote.com,"Emy has truly enhanced my experience…Emy has truly enhanced my experience and made it exceptionally positive. I am grateful for her remarkable ability to provide me with the necessary information promptly, along with her swift responses.Date of experience: June 14, 2023",4
remote.com,"Kiks is the bestKiks is the best! He helped solve my issue! Thanks again!Date of experience: June 14, 2023",4
remote.com,"Overall good experienceDate of experience: June 13, 2023",4
remote.com,"Remote Onboarding & Employment TeamThe people who supported me (Shuchi Kumar and Ismael Clavijo)Date of experience: May 22, 2023",4
remote.com,"Fast answers and kind support.Date of experience: June 13, 2023",4
remote.com,"My Remote's reviewVery simple and efficient.Date of experience: June 12, 2023",4
remote.com,"it took a while but they still resolved…it took a while but they still resolved it.Date of experience: June 14, 2023",4
remote.com,"Quick and kind responses!Date of experience: June 09, 2023",4
remote.com,"Support ExperienceI usually receive responses from the support team within 1-2 minutes, making it a super fast support experience.Date of experience: June 12, 2023",4
remote.com,"The processing speed is fast and kind.Date of experience: June 12, 2023",4
remote.com,"Efficient and effective helpVish efficiently and effectively handled my query. Thank you for the quick response and turnaround!Date of experience: June 08, 2023",4
remote.com,"Timely and direct answer to my questionDate of experience: June 08, 2023",4
remote.com,"Vish was super helpful and extremely…Vish was super helpful and extremely polite. He fixed my issue within 24hours.Date of experience: June 08, 2023",4
remote.com,"quick and very kind responseDate of experience: June 07, 2023",4
remote.com,"Always a pleasure!!Date of experience: June 07, 2023",4
remote.com,"ReponsiveThey quickly respond with the necessary details.Date of experience: June 07, 2023",4
remote.com,"Fast responseFast response and helpfulDate of experience: June 06, 2023",4
remote.com,"Very good and timely informationVery good and timely information on contract topicsDate of experience: June 06, 2023",4
remote.com,"China did an excellent jobChina did an excellent job. Thank youDate of experience: June 01, 2023",4
remote.com,"AwesomeThe team is very helpful with my concern and doing their best to give you the best support ever.Date of experience: June 06, 2023",4
remote.com,"Christopher gave me great support for a…Christopher gave me great support for a name correction with my insurance provider. Thank you Christopher!Date of experience: June 05, 2023",4
remote.com,"That I had to deal with a nice fellaDate of experience: June 05, 2023",4
remote.com,"Responsive support teamHad some issues during KYC. Support team was responsive despite it being on the weekend. Issue was quickly resolved thereafter.Date of experience: June 04, 2023",4
remote.com,"Brigitte helped me to solve my…Brigitte helped me to solve my onboarding problem. I am more than happy with this expert help.Date of experience: May 26, 2023",4
remote.com,"I have found a very helpful team and…I have found a very helpful team and they sorted all my request regarding payrolls within few daysDate of experience: June 02, 2023",4
remote.com,"Excellent service and attentionExcellent service and attention. They have been helped me solve everything I needed.Date of experience: June 02, 2023",4
remote.com,"GoldThe accurate answer, it was just what I needed.simple and straight forward, gold!Date of experience: June 01, 2023",4
remote.com,"Danae is the most helpful person everDanae is the most helpful person ever. Always eager to help, super quick on responding to questions and always positive and energetic. I would 100% recommend remote.com.Date of experience: May 30, 2023",4
remote.com,"Supportive and pleasant experienceMy opinion is based merely on a few weeks of the onboarding process, so it doesn't represent a full picture, which i haven't experienced yet. :) The onboarding process is quite effectively scheduled, employee is guided through each step and any issues/questions are addressed quickly. The web application has a decent and readable interface with an interactive chat for more immediate and individual help.In my opinion the most noticeable drawback is a quite slow tempo to actually process some documents/procedures, because there are 3rd parties involved, which may have their own additional queues of people (clients) and it's sometimes necessary to engage in an extra communication (fortunately also supported by Remote consultants), if something needs to be additionally explained or speed up.Generally i can recommend the Remote platform and i hope my experience is going to be even better over time. :)Date of experience: May 31, 2023",4
remote.com,"Customer support with remote was…Customer support with remote was excellent, had an urgnet matter with a contract deadline and was very pleased with the turnaround and customer care shownDate of experience: May 30, 2023",4
remote.com,"Kind & fast supportKind & fast support, thank you very muchDate of experience: June 01, 2023",4
remote.com,"Great serviceVery polite, professional and - most importantly - knowledgeable.  Managed to get accurate information from Uche, the customer service consultant, very quickly and efficiently.Date of experience: June 01, 2023",4
remote.com,"The Remote support team was always…The Remote support team was always giving me updates, even though it took time to answer the question because Remote had to wait for the vendor answer.Date of experience: May 31, 2023",4
