Plateforme,Avis,Notes sur 5
deel.com,"Good experience over all and timely…Good experience over all and timely support always from the portalDate of experience: November 14, 2023",5
deel.com,"Steps were thoroughly informed.Date of experience: November 14, 2023",5
deel.com,"The support team helped me in resolving…The support team helped me in resolving my issue. They were proactive and shared updates in a timely manner.Date of experience: November 07, 2023",5
deel.com,"Great customer service and very useful…Great customer service and very useful platform. Transformed the way me and my friends work!Date of experience: November 14, 2023",5
deel.com,"Great customer supportI had an amazing experience with the customer support. They were fast and helpful. Thank you, Rachel!Date of experience: November 14, 2023",5
deel.com,"Deel's Customer Support is awesome!Date of experience: November 14, 2023",5
deel.com,"Happy to be with DeelNot only does Deel offer a work-from-home set up, but I also recommend it because of the welcoming environment we have. My Manager constantly makes sure that the process is seamless.Date of experience: November 14, 2023",5
deel.com,"5-Stars!Deel is an exceptional provider who has helped simplify the payment process for me and many other contractors globally. Nothing beats their world-class services such as the user-friendly platform, competitive exchange rates, and the availability of their delightful 24/7 Support Team. There are also plenty of perks that can be utilized and the balance withdrawal process is as easy and convenient as a blink of an eye!Date of experience: November 14, 2023",5
deel.com,"Deel is the best company ever!Deel is the best company ever!It makes remote working so smooth and pleasant.Date of experience: November 13, 2023",5
deel.com,"Thank you Qudus for helping me quickly…Thank you Qudus for helping me quickly and efficientlyDate of experience: November 13, 2023",5
deel.com,"An awesome appAn awesome app! Deel is really great and a leader in the industry.Date of experience: November 13, 2023",5
deel.com,"Nothing short of amazing!Nothing short of amazing...Great features and well-built!Being able to change things around knowing that the system is robust and not buggy is such a great experience! I had a couple of uncertainties in the past have been answered by a quick response by Mr Daniel from the support team.HR systems in the past always have had shortcomings and built on old technology, unlike Deel which has even more tools.My industry relies on freelancing and remote work so having Deel do the boring work while I work with people is something I will never take for granted...Date of experience: November 13, 2023",5
deel.com,"Globalization made easy!Using Deel really helped diversify my workforce.Transitioning to a global company seemed almost impossible being used to always having everyone in your proximity, but using this service really closed the distance, with Deel dealing with regulations on payrolls to all countries I've hired from.Support is always there to deal with all problems and questions!Date of experience: November 13, 2023",5
deel.com,"Deel has been a game-changerDeel has been a game-changer! The team is highly skilled and committed, always striving to meet the needs and expectations of both clients and employees. Keep up the good work Deel!Date of experience: November 13, 2023",5
deel.com,"Shannon was greatShannon was great. She helped me throughout the whole process. Very patient and helpful and she knows what she's doing. I am lucky that I got her to help me with my issue considering that time is critical and might have to wait for another week to receive my salary but thanks to her, everything is fine now.Date of experience: November 12, 2023",5
deel.com,"Easy to Hire and Manage......Updates Need Some WorkDeel has made it so easy to hire workers in countries all over the world. With the way they have streamlined the hiring and payment processes, there is very little worry about how to pay workers for their efforts or how often to do. All this can be set up when you create a contract with them. I do wish there were real-time updates on the system, though. Their Support team has been super helpful and knowledgable but it can be quite time-consuming, especially for businesses, to have to start a chat or send an email and wait for a response just to get an update on an existing issue. All in all though, for such a young company, I have been quite pleased with my experiences so far. I can tell that they are working to continuously improve their services.- Alexandra JDate of experience: November 10, 2023",5
deel.com,"Game changerUsing Deel has been a game-changer for me as a contractor. The platform's seamless onboarding, clear contracts, and secure payment processing make the entire process straightforward. I appreciate the efficiency and peace of mind it brings to international transactions. The support team is responsive and helpful. Overall, Deel has made managing contracts and payments a breeze.Date of experience: November 11, 2023",5
deel.com,"Exceptional Experience with DeelThe customer support at Deel deserves special mention. The team is responsive, knowledgeable, and genuinely committed to ensuring a positive user experience. Any questions or concerns I had were addressed promptly, leaving me with the confidence that I was in good hands.- Madeleine SolaresDate of experience: November 09, 2023",5
deel.com,"Highly recommended!I currently live in a country where getting payments is complicated due to the serious inflation issues we have at the moment, but Deel has made my life so much easier.   The platform is user-friendly, they offer multiple options to withdraw the funds and the support team is simply exceptional. Last but not least, I always get paid on time and have no issues with the estimated delivery times. I really love and appreciate Deel.Date of experience: November 10, 2023",5
deel.com,"I've been using Deel for freelance and…I've been using Deel for freelance and contractor job opportunities and its an awesome and safe user experience. Thank you.Date of experience: April 04, 2023",5
deel.com,"Seamless experienceI have been using Deel for a while now as a contractor and have had the chance to use it to hire contractors too, and I can say that the experience on both sides is fantastic: great platform, excellent support, and seamless experience.Date of experience: November 10, 2023",5
deel.com,"Deel's product quality and accountabilityDeel is awesome across the board. I receive my payment through Deel and whenever I have an issue or my bank delays the transaction they are there to help me.Date of experience: May 10, 2023",5
deel.com,"Deel allows me to easily get paid and use my funds…Deel allows me to easily sign contracts with clients, use my funds, and keep track of them wherever I am!! It also allows me to quickly access additional features that simplify things when it comes to getting global healthcare insurance coverage (Genki or Safety Wing for Colombia), tax advice, and perks.Date of experience: March 28, 2023",5
deel.com,"Excellent productExcellent product developed for really professional peopleDate of experience: November 10, 2023",5
deel.com,"Happy to be part of Deel!I am happy to work with Deel that values and prioritizes work-life balance. The company's dedication to maintaining a harmonious balance between work and personal life has greatly influenced my overall sense of well-being. This supportive approach enhances job satisfaction and makes it a great place to work. I appreciate the positive work culture that allows me to thrive both in and outside of the workplace. Furthermore, the company not only prioritizes work-life balance but also actively acknowledges and rewards employees for their contributions. Just recently, we had an incredible ""Best Make-Up/Costume""at the Halloween-themed meeting, and I emerged as the winner! As a prize, I was presented with a USD 100 Amazon gift card.Date of experience: November 01, 2023",5
deel.com,"Excellent Customer ServiceI really loved the customer service. The agent who helped me was attentive to my needs and gave me a resolution as quickly as possible.Date of experience: November 08, 2023",5
deel.com,"quick responseDate of experience: November 10, 2023",5
deel.com,"Highly recommended!!As a freelancer navigating the intricate world of contracts and payments, Deel has emerged as my go-to platform, providing unmatched support and efficiency.Date of experience: November 10, 2023",5
deel.com,"Deel is the real deal!Deel is the real deal!I just love how they make it possible to hire anyone everywhere compliantly. Gone are the days when you are limited to the talent within your area.Date of experience: November 10, 2023",5
deel.com,"The 5 star is for ChristinaThe 5 star is for Christina. She was very helpful and understanding.,she really took time and effort to assist me with my Oct payment issue. Thank you Christina!!Date of experience: November 07, 2023",5
deel.com,"Easy, fast & smooth!Deel has made my experience as an independent contractor working remotely simply the best!Date of experience: November 09, 2023",5
deel.com,"Deel is very helpful!Deel is very helpful for us independent contractors! I recommend companies to use Deel if you want to hire internationally without the hassleDate of experience: November 10, 2023",5
deel.com,"Deel is greatDeel is great! It makes the business easier and hassle-free with every interaction.Date of experience: November 09, 2023",5
deel.com,"Monicah was very quick and efficient in…Monicah was very quick and efficient in solving her problem.Date of experience: November 08, 2023",5
deel.com,"Love itLove it! Everything has been great!Date of experience: November 09, 2023",5
deel.com,"Easy way to receive paymentsDate of experience: November 09, 2023",5
deel.com,"Excellent PlatformExcellent Platform. I love the fact that Deel makes it easy for companies to hire remotely, compliantly and as a contractor, am able to seamlessly receive payments through the platform.Date of experience: November 09, 2023",5
deel.com,"Great Costumer ServiceThey helped me with my email issue, it was quite a seamless process and did not take too long. I was very pleased to have a rep that spoke Spanish allowing me to ask any questions in my native language! huge plus!One thing I did not see was hours available during European times which could be a nice addition.Date of experience: November 09, 2023",5
deel.com,"Easy to use, easy to get paid.Easy to use, easy to get paid. I'm from Guatemala, and Deel is by far the best platform to sign a contract and get my money to a Guatemalan bank with little to no fee.Date of experience: November 01, 2023",5
deel.com,"Very quickly support responseVery quickly support response, everything works fine on the platform, faster payments, nice UX and UIDate of experience: November 09, 2023",5
deel.com,"Great product!Great product that makes it possible for the best companies to hire the best professionals globallyDate of experience: November 09, 2023",5
deel.com,"The platform itself is of great use for…The platform itself is of great use for making our company and team grow working remotely. And the customer service is fast, friendly and efficient.Date of experience: November 09, 2023",5
deel.com,"Payroll made easyGetting paid and hired for my contract with my client, has been made easy and this was possible by Deel.I also had a great experience when getting support on any issueDate of experience: November 02, 2023",5
deel.com,"Deep’s expertise in employee management…Deep’s expertise in employee management ensures that clients receive top-notch service and support. The team is highly skilled and dedicated, always striving to meet the needs and expectations of both clients and employees. The company's efficient systems and processes streamline operations, making it easier to manage and coordinate employee tasks. The work environment is professional and collaborative, fostering a sense of teamwork and camaraderie among colleaguesDate of experience: May 16, 2023",5
deel.com,"This company has been AWFUL both with…This company has been AWFUL both with communications and support.An established client tried to make an international payment using deel for the first time, which required me to setup a deel account. There were onboarding troubles right from the start and requests for help either went unanswered or were boiler-plate responses telling me to use the chat line, which was also useless. After the client sent the money to deel, it never appeared in my newly onboarded account and despite multiple email requests, there have been no coherent answers explaining where the funds are; I am still fighting to be paid 4 months later. More recently, when I try to log-in, I get a ""too many login attempts"" message after entering the 2FA code and a message to contact support.  Support did reply but are asking for more verification information that I can only get after logging-in, so Catch-22 and very amateurish.I will NEVER use deel again and if I work with this same client will tell them to pay directly as before and not via deel.Date of experience: July 23, 2023",1
deel.com,"Are you an international founder…Are you an international founder looking for help with immigration? Ahmed has been absolutely helpful since the beginning of Seon Health in February 2023. He has met with me over the months multiple times to answer a crazy load of questions I always have. He's also kept in touch and forwarded things that might be useful for my company. He is definitely the best immigration consultant I've worked with. If immigration is something that's on anyone's mind (whether you're a VC or a founder), Ahmed is the go-to-person!Date of experience: November 08, 2023",5
deel.com,"Support handled my ticket so quicklySupport handled my ticket so quickly. Awesome experience.Date of experience: November 08, 2023",5
deel.com,"Great global coverage for our…Great global coverage for our international hiring needs, Deel has local experts everywhere to help us hire compliantly pretty much anywhere with both full time employees and contractors.Date of experience: June 07, 2023",5
deel.com,"Highly recommended!Deel has made global workforce management a breeze. It's an indispensable tool for any company with international team members. If you want to streamline your payroll, payments, and compliance processes, Deel is the way to go. Highly recommended!Date of experience: November 08, 2023",5
deel.com,"I love DeelI love Deel, they are the best at what they do and are here for me all the timeDate of experience: November 08, 2023",5
deel.com,"I had an issue with my payment but deel…I had an issue with my payment but deel supports me alot and they investigate it properly and make me ensure that my payment will be refunded back and today I received my payment back. Thanks alot to the deel team and there services.Date of experience: November 08, 2023",5
deel.com,"Farid was very helpful and pleasant and…Farid was very helpful and pleasant and solved my issue right away.  He seems like a very intelligent and hard working person and I really appreciate his help.  Thanks Farid!Date of experience: November 08, 2023",5
deel.com,"Easy payments from DeelDeel makes it easy for me to get paid and receive my money fast. Great customer service whenever I need it by chat. 5 stars.Date of experience: November 01, 2023",5
deel.com,"Deel is an excellent company!Deel is an amazing company who cares a lot for the people, they are very supportive and their platform is wonderful, it helps a lot contractors, employees, companies and everybody!Date of experience: November 07, 2023",5
deel.com,"Deel is great!Deel has an amazing platform with many amazing features, it was intuitive right from the start too.Date of experience: November 01, 2023",5
deel.com,"I have been extremely impressed with…I have been extremely impressed with Deel's professionalism, expertise, and customer service. Deel has been instrumental in helping me to find and hire qualified candidates from all over the world. Their team of recruiters is knowledgeable about the global talent market and they have a vast network of contacts. They have also been very helpful in navigating the complexities of immigration and employment compliance. I would highly recommend Deel to any company that is looking for a reliable and experienced partner for their global HR needs.Date of experience: November 01, 2023",5
deel.com,"Good InformationThe information given to me by the CS team was very helpful, they knew what they were talking about.Appreciative.Date of experience: November 07, 2023",5
deel.com,"Thank you Deel for your exceptional services!Thank you Deel for your exceptional services! I am thoroughly impressed with the quality of your services and the level of customer care your team provides. I honestly love that I can work for my employer at the comfort of my home and receive my salary on time without any delays. Keep up the fantastic work!Date of experience: November 07, 2023",5
deel.com,"GREAT EXPERIENCE!As a contractor using Deel's platform, I must say my experience has been absolutely fantastic. From easily receiving and withdrawing my earnings through various methods to having all the necessary tools for work and a platform that provides not only my contract details but also a comprehensive overview of my employment situation, Deel has been a game-changer. The website's functionalities are incredibly intuitive and user-friendly. Whenever I've needed to reach out to them for assistance, their response has been prompt and exceptionally courteous. I would wholeheartedly recommend Deel to anyone!Date of experience: November 08, 2023",5
deel.com,"Intuitive and user friendlyThe platform is fast, intuitive and user friendlyI’ve been using Deel for more than 2 years and it has been great!Date of experience: January 08, 2023",5
deel.com,"My experience with Deel has been great…My experience with Deel has been great since I always get paid on time and I've never had any issues regarding the withdrawals. The platform is also user-friendly and easy to navigate. Keep up the good work Deel!Date of experience: October 31, 2023",5
deel.com,"Helpful and kindThe person who attended to me was extremely helpful, patient and kind. We solved the problem in a few minutes!Date of experience: November 07, 2023",5
deel.com,"Top quality service guaranteedDeel has revolutionized the facilitation of remote work and payments, making it a seamless and efficient process. I've experienced firsthand how their platform simplifies getting paid, making it a game-changer for remote workers. The payment options are numerous and details are never missed. It is all you need as a remote worker!Date of experience: November 07, 2023",5
deel.com,"I hade the chance to use itI hade the chance to use it. From my experience in the HR department. I would say that it is one of the greatest platform that I have ever used.Date of experience: October 09, 2023",5
deel.com,"A great HR PlatformA great HR Platform, very professional which helped my business grow. Thank You DeelDate of experience: October 11, 2023",5
deel.com,"my agent was very helpfulmy agent was very helpful, and it was a great experience talking to him!!Date of experience: November 07, 2023",5
deel.com,"a good experiencea good experience, fast answer and fast solution. the employer support is very wellDate of experience: November 07, 2023",5
deel.com,"Working Remotely from El SalvadorDeel has made working remotely easy and convenient! I am working from El Salvador and I am happy that I am able to use the platform to withdraw money directly to my bank account in a fast and convenient way. Working remotely seemed to be complicated since most companies always have delays in getting the payroll on time to the employees. But with Deel, everything is user-friendly and convenient.Date of experience: October 31, 2023",5
deel.com,"Deel is the friendliest website I've…Deel is the friendliest website I've ever used, I love how its services keep up with how the world and the way of managing business move so quickly. The support team is always kind and easy to talk to.Date of experience: November 07, 2023",5
deel.com,"My experience has been great so far.My experience has been great so far.As a contractor, the different payment methods they have are definitely helpful, the page layout is clear and concise, and support always provides prompt answers.Date of experience: November 07, 2023",5
deel.com,"Always quick to respondAlways quick to respond, always helpful, great advice and make my life a hell of a lot easier! Michele is an absolute legend. Can wholeheartedly recommend.Date of experience: October 02, 2023",5
deel.com,"Quick and easy!Date of experience: November 07, 2023",5
deel.com,"Amazing CompanyDeel's support team is fast and reliable. The platform is also easy to use and it's great for businesses looking to hire professionals globally without setting up an entity.Date of experience: May 08, 2023",5
deel.com,"Deel's performance has been absolutely…Deel's performance has been absolutely abysmal. I had a truly nightmarish experience with their service. Not only did they misplace my transfer somewhere in the void, but they also sent a Swift document riddled with mistakes. To top it off, the cherry on the cake was the fact that incorrect transfer details mysteriously appeared in my account just a few days after the initial transfer.What's even more infuriating is the abysmal level of support I received. The support team failed to provide coherent and satisfactory explanations for the ongoing issues. It's clear that they are either ill-equipped or disinterested in addressing the problems faced by their customers.I cannot express enough how deeply frustrated and disappointed I am with Deel's service. Their incompetence and lackluster support have cost me time, money, and peace of mind.Date of experience: November 07, 2023",1
deel.com,"Deel is Awesome!The people here in Deel are awesome and very supportive! When it comes to the product, I love the Deel Advance feature.Date of experience: November 07, 2023",5
deel.com,"Such a great and creative platform!Date of experience: November 07, 2023",5
deel.com,"Deel truly makes my life so much easier!I love being able to work remotely - whether it's in the comfort of my own home or by the beach :D I've always received my payments on time and transferring the funds to my bank account has always been instant too. Their customer support team is very reliable and would go the extra mile to assist their users. Deel truly makes my life so much easier!Date of experience: November 07, 2023",5
deel.com,"Speedy and professional serviceI reached out to Deel's team regarding the clauses that needed clarification on my contract. The team addressed my queries within 24 hours making sure the answers were clear and straight to the point. I feel taken care of and would recommend Deel to anyone who does business. Thank you for your help!Date of experience: November 06, 2023",5
deel.com,"Deel offers a seamless and efficient…Deel offers a seamless and efficient experience. Not only working with a diligent team of experts but, flexibility, convenience when it comes to invoices, salary and a very efficient platform when it comes to receiving salary.Date of experience: November 01, 2023",5
deel.com,"5 Stars!I've been using Deel for almost two years, and has never experienced a payment problem. The platform is user-friendly, and they provide support and assistance that is tailored to your needs.Date of experience: November 07, 2023",5
deel.com,"It is the best solution for your… CompanyIt is the best solution for your company and to have an international team. They have the best customer service that exists, they always help you and look for immediate solutions. They definitely care about their people.Date of experience: October 06, 2023",5
deel.com,"Deel is a wonderful product!Deel has offered me the possibility to work from anywhere and have a reliable source of income, while connecting with different cultures and teammates across the world. The contracts I've signed through the platform are specific, my clients are always compliant with payments and I have plenty of withdrawal methods to use depending on the needs or responsibilities I have.Date of experience: November 01, 2023",5
deel.com,"Deel reviewSupport at Deel is proactive, patient and helpful! The platform is intuitive and the support resources only made it easier to use and learn.Date of experience: November 06, 2023",5
deel.com,"Awesome ExperienceMy experience has been awesome so far, great environment to work in and allows you to excel in whatever role you are in.Date of experience: November 06, 2023",5
deel.com,"Deel cares about the welfare of there…Deel cares about the welfare of there users!Date of experience: November 03, 2023",5
deel.com,"Great serviceGreat service - platform is very user friendly!Date of experience: November 01, 2023",5
deel.com,"Great ServiceDeel's service is great and very useful. Their attention is always kind and helpful when needed.Date of experience: November 06, 2023",5
deel.com,"Deel is Actively working in line with…Deel is Actively working in line with their vision and goal to breach the global hiring barrier. Keep up the good work guys!!!Date of experience: July 21, 2023",5
deel.com,"Amazing Company & Impressive CS TeamI am so thankful for Deel and how they are making hiring worldwide so seamless and easy! I wouldn't have the opportunity to be hired by a company that is thousands of miles away if not for Deel. I get to work remotely doing what I love and I'm getting paid without even stepping outta my house. Love it!! Keep up the great work guys.Date of experience: November 01, 2023",5
deel.com,"Swift response and solved my questions…Swift response and solved my questions instantly.Date of experience: November 06, 2023",5
deel.com,"Great companyDate of experience: November 06, 2023",5
deel.com,"ExcellentDeel oppened up opportunities for me to work worldwide. It is a great platform with one of the most amazing customer service.Date of experience: November 03, 2023",5
deel.com,"Deel is a company with the best Customer Support Experience.Deel is a company with the best Customer Support. They are fast, efficient and ready to solve your concerns 24/7Their product is amazing.Date of experience: November 06, 2023",5
deel.com,"Helpful and Efficient :)Date of experience: November 06, 2023",5
deel.com,"Deel has been a lifesaver for me.Deel has been a lifesaver for me in terms of receiving funds from my employer remotely. Working with Deel has been a smooth and seamless experience. The platform provides a user-friendly interface with powerful features that simplify the entire process of paying remote workers. I particularly love the streamlined payment system that ensures all my payments are received promptly. Deel's transparency, superb customer support, focus on security, and ease of use are impressive. I highly recommend Deel to any company looking to hire and pay individuals remotely. It is a reliable platform that simplifies remote work, making it stress-free and enjoyable. You won't regret using Deel!Date of experience: November 06, 2023",5
deel.com,"The Deel platform is user-friendly and…The Deel platform is user-friendly and easy to use. It gives you all the information that I need regarding my contract, invoices, and most importantly my payments! I got all the things I needed. Two thumbs up!Date of experience: November 03, 2023",5
deel.com,"Customer support solved my request with…Customer support solved my request with very simple steps, didn't take long to connect, and had a straightforward process to follow.Date of experience: November 06, 2023",5
deel.com,"Great platform to hire workers globally!!!!I love using Deel platform to hire workers around the world because they make the flow so easy to use. I can create contractor or employee contract under 5-10 minutes. Their platform and teams also have great knowledge of each country's labor law which help me a ton because I don't need to do much research to stay compliant since they help me with all of that. Deel's onboarding and customer success teams have been extremely helpful, attentive, and responsive! I always feel taken care of! I can easily track/manage my workers' pay and time-off. Deel handles all of my workers' payroll each month which saves me a ton of time. I highly recommend Deel and will continue to be a loyal customer!Date of experience: November 05, 2023",5
deel.com,"Deel does Great workDeel does Great work! If only they had some other (more flexible) payment options for the contractors and companies, that would be excellent.Date of experience: November 04, 2023",5
deel.com,"Deel is amazing!Using Deel has been an absolute pleasure. They took the time to understand whatis needed to have a company that values their users, constantly improving theirservice and platform. I highly recommend Deel!Date of experience: November 01, 2023",5
deel.com,"Seamless payment experienceAlways a great payment experience with Deel!Date of experience: October 30, 2023",5
deel.com,"Thanks for the assistanceThanks for the assistance. I am able to login with my new email.Date of experience: November 03, 2023",5
deel.com,"No knowledge of UK tax systemNo knowledge of UK tax system. UPDATE:Terry has been a positive force in this situation managing to get my money through which earned deel another star in my review. However, deel managed (again because of a third party issue) to submit my monthly earnings multiple times to HMRC making a mess out of my taxes and sending me to a higher tax code. They are trying to solve it :sigh: Because of an issue with a third party integration, deel wrongly added expenses to my gross pay so they got taxed and they shouldn't have been. This has been impossible to resolve after a week and now deel has come to the conclusion I'm owed no money and closed my ticket. In the meanwhile, I'm over £1400 short and continue to try to reach someone who understands the difference between taxable and non-taxable pay. I would avoid deel in the UK. Perhaps their knowledge of other countries is better considering the reviews but this is a fairly simple situation and it has been beyond their capabilities to resolve.Date of experience: October 31, 2023",2
deel.com,"Genuine careWonderful environment and great customer service! There really is genuine care within Deel.Date of experience: November 03, 2023",5
deel.com,"Deel has made my life so much easierDeel has made my life so much easier, I can monitor my payments and their support team is always available and ready to help.Date of experience: November 03, 2023",5
deel.com,"Outstanding HR platform and moreI highly recommend Deel as an outstanding HR platform. The range of services they provide is impressive, catering to various needs of businesses efficiently. Their excellent support team is always there to assist, ensuring a smooth experience. Deel has truly streamlined our HR processes and made managing our workforce a breeze. Thank you for the exceptional service!Date of experience: November 03, 2023",5
deel.com,"Monicah solved my problemMonicah solved my problem . thank youDate of experience: November 03, 2023",5
deel.com,"Feedback for DeelDeel is a comprehensive platform that helps businesses hire and pay employees anywhere in the world. It is easy to use, affordable, and reliable.I highly recommend Deel to any business that is looking to expand its workforce globally.Date of experience: November 03, 2023",5
deel.com,"Excellent customer service!Deel's commitment to helping businesses expand internationally is evident. They make the complex world of global payroll and compliance feel like a breeze. What truly sets Deel apart is their dedication to customer satisfaction. They don't just provide a service; they genuinely care about their customers' success. Their support team is responsive and knowledgeable, always ready to assist with any questions or issues. It's evident that they value their clients, which is a rare and highly appreciated quality in today's business landscape.Date of experience: November 03, 2023",5
deel.com,"World's Best Tool for Remote Working🚀Deel has impressively designed a top-notch FinTech infrastructure while skillfully preserving its role as an essential HR tool for remote team management! What sets them apart is their remarkable speed in disbursing funds, often within days, and sometimes even within hours. The ability to make withdrawals through various methods provides the flexibility to choose the most convenient option for my specific needs.One of the features I cherish the most is the effortless invoicing process. With just a few clicks, I can seamlessly generate invoices for all the work I undertake. Deel has not only simplified my professional life but has also become an indispensable part of it. It's safe to say I cannot envision a future without Deel. It truly is Deelightful! 😅Date of experience: July 24, 2023",5
deel.com,"Doesn’t reply to candidatesDoesn’t reply to candidates, advertises a lot of roles but doesn’t process or reply to applications. Seems to be a data collection strategy rather than genuine vacancies. Applicants bewareDate of experience: September 01, 2023",1
deel.com,"Great user experienceDeel makes receiving my monthly payments simple and effortless! The platform is easy to use and understandDate of experience: November 03, 2023",5
deel.com,"Deel is awesomeDeel is awesome! The customer service truly stands out!Date of experience: November 03, 2023",5
deel.com,"A new standardBeing employed though Deel has been an incredible experience. Being able to manage my payslips, banking info, tax documents (which Deel generates for me), and benefits all in one place saves me a ton of time and energy. On top of that, I have on-demand access to a wealth of resources, including a local HR team that have actually proactively contacted me when there was a change in legislation that could have affected my employment.Everyone I've spoken to has been knowledgable and kind, I have access to cool perks like discounts on travel and wellness services, and I am ALWAYS paid on time. To me, they're setting a new standard for employee experience. Highly recommend.Date of experience: November 02, 2023",5
deel.com,"Highly recommend!I highly recommend working with Josh, along with the LegalPad/Deel team if you’re a startup entrepreneur looking to secure a U.S. visa. Their knowledge and expertise are truly unmatched. Josh was extremely patient and always promptly responded to any inquiries I had. I was truly impressed by his genuine and unwavering commitment to assisting me in obtaining a visa within a tight timeframe!Both Josh and the team supported me extensively throughout my process and their dedication led to a successful outcome for both me and my startup. I look forward to future collaborations and have strongly recommended their services to my network too.Date of experience: May 07, 2023",5
deel.com,"I was employed by an American startup…I was employed by an American startup through Deel and I have to say, there was never a moment where I felt left in the dark. Deel's platform made onboarding super simple. Ongoing support through my time at the company was just as amazing.Loved every second of this journey!!Date of experience: November 02, 2023",5
deel.com,"All was good and quickDate of experience: November 02, 2023",5
deel.com,"Everything has always been smooth.Date of experience: November 02, 2023",5
deel.com,"Using Deel has been an absolute…Using Deel has been an absolute pleasure.  They took the time to understand what is needed to have a company that values their users, constantly improving their service and platform.the team treatment provided has always been expertly performed and excellent service. I seriously highly recommend Deel, for any future opportunities.Date of experience: November 02, 2023",5
deel.com,"Excellent Customer ExperienceI had a series of questions regarding my payslip & Cleia was able to answer all of them thoroughly and with care.Date of experience: October 31, 2023",5
deel.com,"Great platformGreat platform, you can have everything on it, contracts, expenses, payments, withdrawals.Date of experience: November 02, 2023",5
deel.com,"Personal experience with DeelDeel has made hiring and paying remote employees a breeze. Their platform is easy to use and their customer support is top-notch. I highly recommend Deel to any business looking to hire remote employees.Here are some of the things I love about Deel:Easy to use: Deel is very user-friendly. I was able to set up my account in minutes.Comprehensive features: Deel offers a wide range of features, including payroll, taxes, benefits, and compliance. This has saved me a lot of time.Global reach: Deel supports over 150 countries, which gives me the flexibility to hire employees from all over the world.Date of experience: November 01, 2023",5
deel.com,"Christina is fireWhat a pleasure life would be if more of your agents could be like Christina.Date of experience: November 02, 2023",5
deel.com,"The platform is very user friendlyThe platform is very user friendly. The best payroll platform and a must try :)Date of experience: November 02, 2023",5
deel.com,"A positive experience with DeelDeel has made it possible for me to get hired and work remotely in a company I wouldn't have even imagined if Deel's service did not exist. My experience in terms of being able to manage my working tools, benefits and payroll is more positive than most local jobs even though my company is 6000+ miles away.This is a testament to Deel's greatness! 😊❤️Date of experience: November 02, 2023",5
deel.com,"User friendly platformI wanted to take a moment to express my immense appreciation for the fantastic services your company provides. Deel has truly transformed the way I manage my global workforce, making it efficient and hassle-free.The user-friendly platform, along with the comprehensive compliance and payroll solutions, has saved me countless hours and reduced the stress of international hiring. Deel's commitment to simplifying complex processes is evident in every feature you offer.What's most impressive is the outstanding support I've received from your team. They have always been there to answer my questions promptly and guide me through any challenges I've encountered. This level of customer service is hard to come by and greatly appreciated.Date of experience: November 02, 2023",5
deel.com,"DeelDeel is a company that works day by day in order to improve their product and quality of service, making sure each interation we have is a unique experienceDate of experience: November 02, 2023",5
deel.com,"User friendly platformI wanted to take a moment to express my immense appreciation for the fantastic services your company provides. Deel has truly transformed the way I manage my global workforce, making it efficient and hassle-free.The user-friendly platform, along with the comprehensive compliance and payroll solutions, has saved me countless hours and reduced the stress of international hiring. Deel's commitment to simplifying complex processes is evident in every feature you offer.What's most impressive is the outstanding support I've received from your team. They have always been there to answer my questions promptly and guide me through any challenges I've encountered. This level of customer service is hard to come by and greatly appreciated.Date of experience: November 02, 2023",5
deel.com,"Deel is an incredible one-stop HR…Deel is an incredible one-stop HR platform. It makes my payroll and necessary work-related data off of my worry list as a working mom. Thank you for the seamless transactions and support-customer interactions.Date of experience: November 02, 2023",5
deel.com,"Amazing companyDate of experience: November 02, 2023",5
deel.com,"Deel is the best way to connect with my Clients and receive my payments.Deel is the best way to receive my payments and handle my work information.Date of experience: November 01, 2023",5
deel.com,"Deel - Get Paid, Quicker!The complete experience is silky smooth, from setting up your accounts to beneficiaries and getting assistance from support. The pieces of the puzzle fall perfectly to their places. Great work, applaudable platform.Date of experience: November 02, 2023",5
deel.com,"It just worksWe've only been using it for a few months and now I don't understand how we lived without it.Also, in addition to the service itself, I was very pleased with the support team, which, even in difficult cases, really helps to solve your problem.Date of experience: November 01, 2023",5
deel.com,"Jovan is a great consultant he provide…Jovan is a great consultant he provide me with all the documents and information I needed, his answer was fast an effective. He carefully answered all my questions. I had a great customer experience. Ty!Date of experience: October 31, 2023",5
deel.com,"Best HR platform in the whole worldBest HR platform in the whole world, easy to use with a lot of benefits!!Date of experience: November 01, 2023",5
deel.com,"Best service I've ever seen!As an independent contractor based in Brazil, I can't overstate how much Deel has simplified and improved my work life. Deel is like a dream come true for workers like me, and it has become an indispensable part of my professional journey.From the moment I created my account and signed my contract, to the amazing support offered by the Deel team, I had nothing but the best experience. The Deel team is always ready to help whenever I have any questions and can quickly provide great support.Another major callout is the possibility of selecting how I'll withdraw money from my balance, as Deel provides several withdrawal methods that are super cost and time-efficient.I've used other services in the past and Deel is by far the best one that I came across during my professional life, and I'm sure many others worldwide would agree.In summary, if you're a contractor looking for a stress-free way to manage your global work, Deel is the answer!Date of experience: November 01, 2023",5
deel.com,"Fast response.Fast response. Kind person. We solved the problem very fastDate of experience: November 01, 2023",5
deel.com,"The best platform for remote work!Deel opened up opportunities for me to work remotely worldwide, great platform with amazing customer service, thank you!Date of experience: November 01, 2023",5
deel.com,"Deel is customer obsessiveDeel is customer obsessive. Their customer support is top-notch. I will recommend Deel to any start-up looking to expand their global reach.Date of experience: November 01, 2023",5
